"","pa","daily_sample_size_ofensive","freq_daily_sample_size_ofensive","acc_ofensive"
"61",0.07,4300,10056,0.9007
"62",0.071,4150,9839,0.9008
"63",0.072,4050,9629,0.9052
"64",0.073,4000,9427,0.9012
"65",0.074,3850,9231,0.9017
"66",0.075,4000,9043,0.9001
"67",0.076,3950,8860,0.9011
"68",0.077,3900,8683,0.902
"69",0.078,3650,8512,0.9034
"70",0.079,3550,8346,0.8997
"71",0.08,3700,8186,0.9018
"72",0.081,3500,8030,0.9
"73",0.082,3450,7879,0.8998
"74",0.083,3400,7733,0.8997
"75",0.084,3300,7591,0.8996
"76",0.085,3300,7453,0.9005
"77",0.086,3250,7320,0.8997
